niveau,circ,rôle,nomComplet,prénom,nom,genre,parti,courriel,photo,source
CA,Brampton West,MP,Kamal Khera,Kamal,Khera,F,Liberal,Kamal.Khera@parl.gc.ca,https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/KheraKamal_Lib.jpg,https://www.ourcommons.ca/Members/en/kamal-khera(88705)
CA,BrandonSouris,MP,Larry Maguire,Larry,Maguire,M,Conservative,Larry.Maguire@parl.gc.ca,https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/MaguireLarry_CPC.jpg,https://www.ourcommons.ca/Members/en/larry-maguire(7251)
CA,BrantfordBrant,MP,Phil McColeman,Phil,McColeman,M,Conservative,phil.mccoleman@parl.gc.ca,https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/McColemanPhil_CPC.jpg,https://www.ourcommons.ca/Members/en/phil-mccoleman(35539)
CA,BromeMissisquoi,MP,Lyne Bessette,Lyne,Bessette,F,Liberal,Lyne.Bessette@parl.gc.ca,https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/BessetteLyne_Lib.jpg,https://www.ourcommons.ca/Members/en/lyne-bessette(104694)
CA,BrossardSaint-Lambert,MP,Alexandra Mendès,Alexandra,Mendès,F,Liberal,Alexandra.Mendes@parl.gc.ca,https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/MendèsAlexandra_Lib.jpg,https://www.ourcommons.ca/Members/en/alexandra-mendes(58621)
CA,BruceGreyOwen Sound,MP,Alex Ruff,Alex,Ruff,M,Conservative,Alex.Ruff@parl.gc.ca,https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/RuffAlex_CPC.jpg,https://www.ourcommons.ca/Members/en/alex-ruff(105070)
CA,Burlington,MP,Karina Gould,Karina,Gould,F,Liberal,Karina.Gould@parl.gc.ca,https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/GouldKarina_Lib.jpg,https://www.ourcommons.ca/Members/en/karina-gould(88715)
CA,Burnaby NorthSeymour,MP,Terry Beech,Terry,Beech,M,Liberal,Terry.Beech@parl.gc.ca,https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/BeechTerry_Lib.jpg,https://www.ourcommons.ca/Members/en/terry-beech(89236)
CA,Burnaby South,MP,Jagmeet Singh,Jagmeet,Singh,M,NDP,Jagmeet.Singh@parl.gc.ca,https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/SinghJagmeet_NDP.jpg,https://www.ourcommons.ca/Members/en/jagmeet-singh(71588)
CA,BécancourNicoletSaurel,MP,Louis Plamondon,Louis,Plamondon,M,Bloc Québécois,louis.plamondon@parl.gc.ca,https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/PlamondonLouis_PQ.jpg,https://www.ourcommons.ca/Members/en/louis-plamondon(413)
CA,Calgary Centre,MP,Greg McLean,Greg,McLean,M,Conservative,greg.mclean@parl.gc.ca,https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/McLeanGreg_CPC.jpg,https://www.ourcommons.ca/Members/en/greg-mclean(105623)
CA,Calgary Confederation,MP,Len Webber,Len,Webber,M,Conservative,Len.Webber@parl.gc.ca,https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/WebberLen_CPC.jpg,https://www.ourcommons.ca/Members/en/len-webber(89116)
CA,Calgary Forest Lawn,MP,Jasraj Singh Hallan,Jasraj Singh,Hallan,M,Conservative,JasrajSingh.Hallan@parl.gc.ca,https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/HallanJasrajSingh_CPC.jpg,https://www.ourcommons.ca/Members/en/jasraj-singh-hallan(105630)
CA,Calgary Heritage,MP,Bob Benzen,Bob,Benzen,M,Conservative,Bob.Benzen@parl.gc.ca,https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/BenzenBob_CPC.jpg,https://www.ourcommons.ca/Members/en/bob-benzen(96361)
CA,Calgary Midnapore,MP,Stephanie Kusie,Stephanie,Kusie,F,Conservative,Stephanie.Kusie@parl.gc.ca,https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/KusieStephanie_CPC.jpg,https://www.ourcommons.ca/Members/en/stephanie-kusie(96367)
CA,Calgary Nose Hill,MP,Michelle Rempel Garner,Michelle Rempel,Garner,F,Conservative,Michelle.Rempel@parl.gc.ca,https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/RempelMichelle_CPC.jpg,https://www.ourcommons.ca/Members/en/michelle-rempel-garner(71902)
CA,Calgary Rocky Ridge,MP,Pat Kelly,Pat,Kelly,M,Conservative,Pat.Kelly@parl.gc.ca,https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/KellyPat_CPC.jpg,https://www.ourcommons.ca/Members/en/pat-kelly(89130)
CA,Calgary Shepard,MP,Tom Kmiec,Tom,Kmiec,M,Conservative,Tom.Kmiec@parl.gc.ca,https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/KmiecTom_CPC.jpg,https://www.ourcommons.ca/Members/en/tom-kmiec(89136)
CA,Calgary Signal Hill,MP,Ron Liepert,Ron,Liepert,M,Conservative,Ron.Liepert@parl.gc.ca,https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/LiepertRon_CPC.jpg,https://www.ourcommons.ca/Members/en/ron-liepert(89139)
CA,Calgary Skyview,MP,Jag Sahota,Jag,Sahota,F,Conservative,Jag.Sahota@parl.gc.ca,https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/SahotaJag_CPC.jpg,https://www.ourcommons.ca/Members/en/jag-sahota(105665)
CA,Cambridge,MP,Bryan May,Bryan,May,M,Liberal,Bryan.May@parl.gc.ca,https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/MayBryan_Lib.jpg,https://www.ourcommons.ca/Members/en/bryan-may(71599)
CA,Cape BretonCanso,MP,Mike Kelloway,Mike,Kelloway,M,Liberal,Mike.Kelloway@parl.gc.ca,https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/KellowayMike_Lib.jpg,https://www.ourcommons.ca/Members/en/mike-kelloway(104531)
CA,Cardigan,MP,Lawrence MacAulay,Lawrence,MacAulay,M,Liberal,lawrence.macaulay@parl.gc.ca,https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/MacAulayLawrence_Lib.jpg,https://www.ourcommons.ca/Members/en/lawrence-macaulay(33)
CA,CaribooPrince George,MP,Todd Doherty,Todd,Doherty,M,Conservative,Todd.Doherty@parl.gc.ca,https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/DohertyTodd_CPC.jpg,https://www.ourcommons.ca/Members/en/todd-doherty(89249)
CA,Carleton,MP,Pierre Poilievre,Pierre,Poilievre,M,Conservative,pierre.poilievre@parl.gc.ca,https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/PoilievrePierre_CPC.jpg,https://www.ourcommons.ca/Members/en/pierre-poilievre(25524)
CA,Carlton TrailEagle Creek,MP,Kelly Block,Kelly,Block,F,Conservative,kelly.block@parl.gc.ca,https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/BlockKelly_CPC.jpg,https://www.ourcommons.ca/Members/en/kelly-block(59156)
CA,Central Nova,MP,Sean Fraser,Sean,Fraser,M,Liberal,Sean.Fraser@parl.gc.ca,https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/FraserSean_Lib.jpg,https://www.ourcommons.ca/Members/en/sean-fraser(88316)
CA,Central OkanaganSimilkameenNicola,MP,Dan Albas,Dan,Albas,M,Conservative,Dan.Albas@parl.gc.ca,https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/AlbasDan_CPC.jpg,https://www.ourcommons.ca/Members/en/dan-albas(72029)
CA,CharlesbourgHaute-Saint-Charles,MP,Pierre Paul-Hus,Pierre,Paul-Hus,M,Conservative,Pierre.Paul-Hus@parl.gc.ca,https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/PaulHusPierre_CPC.jpg,https://www.ourcommons.ca/Members/en/pierre-paul-hus(71454)
CA,CharleswoodSt. JamesAssiniboiaHeadingley,MP,Marty Morantz,Marty,Morantz,M,Conservative,Marty.Morantz@parl.gc.ca,https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/MorantzMarty_CPC.jpg,https://www.ourcommons.ca/Members/en/marty-morantz(105511)
CA,Charlottetown,MP,Sean Casey,Sean,Casey,M,Liberal,Sean.Casey@parl.gc.ca,https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/CaseySean_Lib.jpg,https://www.ourcommons.ca/Members/en/sean-casey(71270)
CA,Chatham-KentLeamington,MP,Dave Epp,Dave,Epp,M,Conservative,Dave.Epp@parl.gc.ca,https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/EppDave_CPC.jpg,https://www.ourcommons.ca/Members/en/dave-epp(105082)
CA,ChicoutimiLe Fjord,MP,Richard Martel,Richard,Martel,M,Conservative,Richard.Martel@parl.gc.ca,https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/MartelRichard_CPC.jpg,https://www.ourcommons.ca/Members/en/richard-martel(100521)
CA,ChilliwackHope,MP,Mark Strahl,Mark,Strahl,M,Conservative,Mark.Strahl@parl.gc.ca,https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/StrahlMark_CPC.jpg,https://www.ourcommons.ca/Members/en/mark-strahl(71986)
CA,ChurchillKeewatinook Aski,MP,Niki Ashton,Niki,Ashton,F,NDP,niki.ashton@parl.gc.ca,https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/AshtonNiki_NDP.jpg,https://www.ourcommons.ca/Members/en/niki-ashton(36037)
CA,ChâteauguayLacolle,MP,Brenda Shanahan,Brenda,Shanahan,F,Liberal,Brenda.Shanahan@parl.gc.ca,https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/ShanahanBrenda_Lib.jpg,https://www.ourcommons.ca/Members/en/brenda-shanahan(88442)
CA,CloverdaleLangley City,MP,Tamara Jansen,Tamara,Jansen,F,Conservative,tamara.jansen@parl.gc.ca,https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/JansenTamara_CPC.jpg,https://www.ourcommons.ca/Members/en/tamara-jansen(105774)
CA,Coast of BaysCentralNotre Dame,MP,Scott Simms,Scott,Simms,M,Liberal,scott.simms@parl.gc.ca,https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/SimmsScott_Lib.jpg,https://www.ourcommons.ca/Members/en/scott-simms(25456)
CA,ComptonStanstead,MP,Marie-Claude Bibeau,Marie-Claude,Bibeau,F,Liberal,Marie-Claude.Bibeau@parl.gc.ca,https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/BibeauMarieClaude_Lib.jpg,https://www.ourcommons.ca/Members/en/marie-claude-bibeau(88449)
CA,CoquitlamPort Coquitlam,MP,Ron McKinnon,Ron,McKinnon,M,Liberal,Ron.McKinnon@parl.gc.ca,https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/McKinnonRon_Lib.jpg,https://www.ourcommons.ca/Members/en/ron-mckinnon(59293)
CA,CourtenayAlberni,MP,Gord Johns,Gord,Johns,M,NDP,Gord.Johns@parl.gc.ca,https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/JohnsGord_NDP.jpg,https://www.ourcommons.ca/Members/en/gord-johns(89263)
CA,CowichanMalahatLangford,MP,Alistair MacGregor,Alistair,MacGregor,M,NDP,Alistair.MacGregor@parl.gc.ca,https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/MacGregorAlistair_NDP.jpg,https://www.ourcommons.ca/Members/en/alistair-macgregor(89269)
CA,CumberlandColchester,MP,Lenore Zann,Lenore,Zann,F,Liberal,Lenore.Zann@parl.gc.ca,https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/ZannLenore_Lib.jpg,https://www.ourcommons.ca/Members/en/lenore-zann(104544)
CA,Cypress HillsGrasslands,MP,Jeremy Patzer,Jeremy,Patzer,M,Conservative,Jeremy.Patzer@parl.gc.ca,https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/PatzerJeremy_CPC.jpg,https://www.ourcommons.ca/Members/en/jeremy-patzer(105559)
CA,DartmouthCole Harbour,MP,Darren Fisher,Darren,Fisher,M,Liberal,Darren.Fisher@parl.gc.ca,https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/FisherDarren_Lib.jpg,https://www.ourcommons.ca/Members/en/darren-fisher(88323)
CA,DauphinSwan RiverNeepawa,MP,Dan Mazier,Dan,Mazier,M,Conservative,Dan.Mazier@parl.gc.ca,https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/MazierDan_CPC.jpg,https://www.ourcommons.ca/Members/en/dan-mazier(3306)
CA,Davenport,MP,Julie Dzerowicz,Julie,Dzerowicz,F,Liberal,Julie.Dzerowicz@parl.gc.ca,https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/DzerowiczJulie_Lib.jpg,https://www.ourcommons.ca/Members/en/julie-dzerowicz(88721)
CA,Delta,MP,Carla Qualtrough,Carla,Qualtrough,F,Liberal,Carla.Qualtrough@parl.gc.ca,https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/QualtroughCarla_Lib.jpg,https://www.ourcommons.ca/Members/en/carla-qualtrough(89272)
CA,DesnethéMissinippiChurchill River,MP,Gary Vidal,Gary,Vidal,M,Conservative,Gary.Vidal@parl.gc.ca,https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/VidalGary_CPC.jpg,https://www.ourcommons.ca/Members/en/gary-vidal(105562)
CA,Don Valley East,MP,Yasmin Ratansi,Yasmin,Ratansi,F,Liberal,Yasmin.Ratansi@parl.gc.ca,https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/RatansiYasmin_Lib.jpg,https://www.ourcommons.ca/Members/en/yasmin-ratansi(25449)
CA,Don Valley North,MP,Han Dong,Han,Dong,M,Liberal,Han.Dong@parl.gc.ca,https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/DongHan_Lib.jpg,https://www.ourcommons.ca/Members/en/han-dong(105091)
CA,Don Valley West,MP,Robert Oliphant,Robert,Oliphant,M,Liberal,Rob.Oliphant@parl.gc.ca,https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/OliphantRobert_Lib.jpg,https://www.ourcommons.ca/Members/en/robert-oliphant(58858)
CA,DorvalLachineLaSalle,MP,Anju Dhillon,Anju,Dhillon,F,Liberal,Anju.Dhillon@parl.gc.ca,https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/DhillonAnju_Lib.jpg,https://www.ourcommons.ca/Members/en/anju-dhillon(88453)
CA,Drummond,MP,Martin Champoux,Martin,Champoux,M,Bloc Québécois,Martin.Champoux@parl.gc.ca,https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/ChampouxMartin_BQ.jpg,https://www.ourcommons.ca/Members/en/martin-champoux(104741)
CA,DufferinCaledon,MP,Kyle Seeback,Kyle,Seeback,M,Conservative,Kyle.Seeback@parl.gc.ca,https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/SeebackKyle_CPC.jpg,https://www.ourcommons.ca/Members/en/kyle-seeback(58841)
CA,Durham,MP,Erin O'Toole,Erin,O'Toole,M,Conservative,Erin.OToole@parl.gc.ca,https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/OTooleErin_CPC.jpg,https://www.ourcommons.ca/Members/en/erin-otoole(72773)
CA,Edmonton Centre,MP,James Cumming,James,Cumming,M,Conservative,James.Cumming@parl.gc.ca,https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/CummingJames_CPC.jpg,https://www.ourcommons.ca/Members/en/james-cumming(89472)
CA,Edmonton Griesbach,MP,Kerry Diotte,Kerry,Diotte,M,Conservative,Kerry.Diotte@parl.gc.ca,https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/DiotteKerry_CPC.jpg,https://www.ourcommons.ca/Members/en/kerry-diotte(89150)
CA,Edmonton Manning,MP,Ziad Aboultaif,Ziad,Aboultaif,M,Conservative,Ziad.Aboultaif@parl.gc.ca,https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/AboultaifZiad_CPC.jpg,https://www.ourcommons.ca/Members/en/ziad-aboultaif(89156)
CA,Edmonton Mill Woods,MP,Tim Uppal,Tim,Uppal,M,Conservative,Tim.Uppal@parl.gc.ca,https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/UppalTim_CPC.jpg,https://www.ourcommons.ca/Members/en/tim-uppal(30645)
CA,Edmonton Riverbend,MP,Matt Jeneroux,Matt,Jeneroux,M,Conservative,Matt.Jeneroux@parl.gc.ca,https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/JenerouxMatt_CPC.jpg,https://www.ourcommons.ca/Members/en/matt-jeneroux(89167)
